0,city_ascii,lat,long,country,population
226,Bengbu,32.9354,117.3531,China,3525000
227,Montreal,45.5089,-73.5617,Canada,3519595
228,Detroit,42.3834,-83.1024,United States,3506126
229,Baicheng,23.901,106.6194,China,3466758
230,Busan,35.1,129.0403,"Korea, South",3440484
231,Algiers,36.7764,3.0586,Algeria,3415811
232,Qincheng,34.5809,105.7311,China,3400000
233,Taiyuan,37.8733,112.5425,China,3398000
234,Lucknow,26.847,80.947,India,3382000
235,Chaoyang,41.5757,120.4486,China,3370000
236,Hechi,24.6928,108.085,China,3369251
237,Leshan,29.5854,103.7575,China,3364000
238,Yulinshi,38.2655,109.7388,China,3328000
239,Siping,43.1715,124.3644,China,3300000
240,Madrid,40.4189,-3.6919,Spain,3266126
241,Jinan,36.6667,116.9833,China,3250000
242,Shiyan,32.6351,110.7755,China,3228000
243,Changzhi,36.1953,113.097,China,3230000
244,San Diego,32.8312,-117.1225,United States,3220118
245,Faisalabad,31.418,73.079,Pakistan,3203846
246,Santa Cruz,-17.7892,-63.1975,Bolivia,3151676
247,Bazhou,31.8576,106.7559,China,3134000
248,Zhongshan,22.5333,113.35,China,3121275
249,Zhenjiang,32.2109,119.4551,China,3113384
250,Urumqi,43.825,87.6,China,3112559
251,Tongliao,43.6172,122.264,China,3094600
252,Heyuan,23.7503,114.6923,China,3093900
253,Tongren,27.7233,109.1885,China,3093204
254,Qinzhou,21.95,108.6167,China,3079721
255,Jaipur,26.9167,75.8667,India,3073350
256,Xinzhou,38.4178,112.7233,China,3067501
257,Addis Ababa,9.0272,38.7369,Ethiopia,3041002
258,Giza,29.987,31.2118,Egypt,3021542
259,Meishan,30.0575,103.8381,China,3020000
260,Brasilia,-15.7744,-48.0773,Brazil,3015268
261,Mashhad,36.3069,59.6042,Iran,3001184
262,Jinzhou,41.1144,121.1292,China,3000000
263,Tieling,42.2841,123.8365,China,3000000
264,Shaoguan,24.8011,113.5927,China,2997600
265,Shanwei,22.7664,115.3331,China,2990000
266,Minneapolis,44.9635,-93.2678,United States,2977172
267,Kyiv,50.45,30.5236,Ukraine,2967000
268,Sanaa,15.35,44.2,Yemen,2957000
269,Quezon City,14.6333,121.0333,Philippines,2936116
270,Dingxi,35.5806,104.6263,China,2930000
271,Salvador,-12.9708,-38.5108,Brazil,2921087
272,Incheon,37.4639,126.6486,"Korea, South",2913024
273,Bursa,40.1833,29.0667,Turkey,2901396
274,Ningde,26.6667,119.5167,China,2910000
275,Tampa,27.9942,-82.4451,United States,2908063
276,Daqing,46.5979,125.008,China,2904532
277,Birmingham,52.48,-1.9025,United Kingdom,2897303
278,Putian,25.4394,119.0103,China,2900000
279,Huzhou,30.8695,120.0958,China,2893542
280,Wuzhou,23.4833,111.3167,China,2882200
281,Denver,39.7621,-104.8759,United States,2876625
282,Rome,41.8931,12.4828,Italy,2872800
283,La Paz,-16.4942,-68.1475,Bolivia,2867504
284,Pyongyang,39.03,125.73,"Korea, North",2863000
285,Kano,12,8.5167,Nigeria,2828861
286,Taichung,24.15,120.6667,Taiwan,2803894
287,Omdurman,15.6835,32.4629,Sudan,2805396
288,Zigong,29.3498,104.7645,China,2800000
289,Qinhuangdao,39.9398,119.5881,China,2800000
290,Mudanjiang,44.5861,129.5997,China,2790000
291,Huludao,40.7094,120.8378,China,2787000
292,Kaohsiung,22.6167,120.3,Taiwan,2773533
293,Xiangtan,27.8431,112.9228,China,2748552
294,Guayaquil,-2.1833,-79.8833,Ecuador,2723665
295,Rizhao,35.4164,119.4331,China,2720000
296,Manchester,53.4794,-2.2453,United Kingdom,2705000
297,Cawnpore,26.4725,80.3311,India,2701324
298,Baotou,40.6562,109.8345,China,2700000
299,Taipei,25.0478,121.5319,Taiwan,2684567
300,Nanping,26.6448,118.1728,China,2690000
301,Longyan,25.0881,117.0244,China,2640000
302,Ibadan,7.3964,3.9167,Nigeria,2628000
303,Hohhot,40.8151,111.6629,China,2635000
304,Chaozhou,23.67,116.63,China,2620000
305,Antananarivo,-18.9386,47.5214,Madagascar,2610000
306,Longba,33.535,105.349,China,2614000
307,Weihai,37.5,122.1,China,2596753
308,Chattogram,22.335,91.8325,Bangladesh,2581643
309,Santo Domingo,18.4764,-69.8933,Dominican Republic,2581827
310,Xuanzhou,30.9475,118.7518,China,2580000
311,Sanming,26.2658,117.6302,China,2580000
312,Brooklyn,40.6501,-73.9496,United States,2559903
313,Medellin,6.2447,-75.5748,Colombia,2529403
314,Brisbane,-27.4678,153.0281,Australia,2514184
315,Baoshan,25.1211,99.169,China,2506491
316,Dubai,25.2697,55.3094,United Arab Emirates,2502715
317,Luohe,33.583,114.0109,China,2500000
318,Qinbaling,35.7278,107.64,China,2500000
319,Mirzapur,25.15,82.58,India,2496970
320,Guangyuan,32.4353,105.8398,China,2484122
321,Cali,3.44,-76.5197,Colombia,2471474
322,Daegu,35.8667,128.6,"Korea, South",2461002
323,Fortaleza,-3.7275,-38.5275,Brazil,2452185
324,Guatemala City,14.6099,-90.5252,Guatemala,2450212
325,Yaounde,3.8578,11.5181,Cameroon,2440462
326,Douala,4.05,9.7,Cameroon,2446945
327,Jilin,43.85,126.55,China,2396000
328,Lianshan,40.7503,120.83,China,2426000
329,Lincang,23.8864,100.0871,China,2429497
330,Antalya,36.9081,30.6956,Turkey,2426356
331,Tashkent,41.3,69.2667,Uzbekistan,2424100
332,Huangshi,30.2018,115.0326,China,2419000
333,Bandung,-6.95,107.5667,Indonesia,2394873
334,Nagpur,21.1539,79.0831,India,2405665
335,Dandong,40.1167,124.3833,China,2400000
336,Huainan,32.4831,117.0164,China,2409000
337,Shangzhou,33.868,109.9244,China,2400000
338,Bekasi,-6.2333,107,Indonesia,2381053
339,Ghaziabad,28.6667,77.4167,India,2381452
340,Tijuana,32.525,-117.0333,Mexico,2384609
341,Jiamusi,46.8081,130.3653,China,2360000
342,Yangjiang,21.8556,111.9627,China,2357000
343,Accra,5.6037,-0.187,Ghana,2291352
344,Yuxi,24.3495,102.5432,China,2303518
345,Fushun,41.8708,123.8917,China,2300000
346,Anshun,26.2456,105.934,China,2297612
347,Vancouver,49.25,-123.1,Canada,2264823
348,Tangerang,-6.1783,106.6319,Indonesia,2237006
349,Konya,37.8714,32.4847,Turkey,2232374
350,Queens,40.7498,-73.7976,United States,2230722
351,Yingkou,40.6653,122.2297,China,2220000
352,Adana,37,35.325,Turkey,2220125
353,Medan,3.6667,98.6667,Indonesia,2210625
354,Sanmenxia,34.7736,111.195,China,2213000
355,Indore,22.7206,75.8472,India,2201927
356,Ma'anshan,31.7135,118.3605,China,2202899
357,Pingliang,35.5412,106.6819,China,2190000
358,Quzhou,28.9545,118.8763,China,2185000
359,Baku,40.3667,49.8352,Azerbaijan,2181800
360,Gaoping,30.7804,106.13,China,2174000
361,Huaibei,33.9562,116.789,China,2158000
362,Xining,36.6239,101.7787,China,2154000
363,Yan'an,36.5952,109.4863,China,2150000
364,Havana,23.1367,-82.3589,Cuba,2141652
365,Phnom Penh,11.5696,104.921,Cambodia,2129371
366,Fukuoka,33.5903,130.4019,Japan,2128000
367,Mogadishu,2.0408,45.3425,Somalia,2120000
368,Jincheng,35.4906,112.8483,China,2120000
369,Lishui,28.45,119.9167,China,2116957
370,Qingyang,24.8141,118.5792,China,2111000
371,Riverside,33.9381,-117.3948,United States,2107852
372,Baltimore,39.3051,-76.6144,United States,2106068
373,Haiphong,20.8,106.6667,Vietnam,2103500
374,Las Vegas,36.2333,-115.2654,United States,2104198
375,Laibin,23.7333,109.2333,China,2099711
376,Rawalpindi,33.6007,73.0679,Pakistan,2098231
377,Kumasi,6.6833,-1.6167,Ghana,2069350
378,Portland,45.5372,-122.65,United States,2074775
379,Vadodara,22.3,73.2,India,2065771
380,Perth,-31.9522,115.8589,Australia,2059484
381,Puning,23.2993,116.1586,China,2055552
382,San Antonio,29.4658,-98.5253,United States,2049293
383,Haikou,20.02,110.32,China,2046189
384,Vishakhapatnam,17.7333,83.3167,India,2035922
385,Gaziantep,37.0667,37.3833,Turkey,2028563
386,Minsk,53.9022,27.5618,Belarus,2020600
387,St. Louis,38.6358,-90.2451,United States,2024074
388,Bamako,12.6458,-7.9922,Mali,2009109
389,Quito,-0.2186,-78.5097,Ecuador,2011388
390,Pingxiang,27.6333,113.85,China,2001027
391,Chongzuo,22.4167,107.3667,China,1994285
392,Sanliurfa,37.1583,38.7917,Turkey,1985753
393,Kananga,-5.897,22.4488,Congo (Kinshasa),1971704
394,Peshawar,34,71.5,Pakistan,1970042
395,Sapporo,43.0621,141.3544,Japan,1958756
396,Jixi,45.2937,130.965,China,1950000
397,Caracas,10.5,-66.9333,Venezuela,1943901
398,Fuxin,42.0127,121.6486,China,1930000
399,Leeds,53.7997,-1.5492,United Kingdom,1901934
400,Sacramento,38.5667,-121.4683,United States,1898019
401,Blantyre,-15.7861,35.0058,Malawi,1895973
402,Tainan,22.9833,120.1833,Taiwan,1883831
403,Bucharest,44.4,26.0833,Romania,1883425
404,Wuwei,37.9278,102.6329,China,1890000
405,Bhopal,23.25,77.4167,India,1883381
406,Curitiba,-25.4297,-49.2719,Brazil,1879355
407,Xiping,40.08,113.3,China,1873000
408,Asuncion,-25.3,-57.6333,Paraguay,1870000
409,Saidu Sharif,34.75,72.3572,Pakistan,1860310
410,Vienna,48.2083,16.3731,Austria,1840573
411,Aleppo,36.2,37.15,Syria,1834093
412,Hamburg,53.55,10,Germany,1841179
413,Meru,0.05,37.65,Kenya,1833000
414,Brazzaville,-4.2667,15.2833,Congo (Brazzaville),1827000
415,Orlando,28.4772,-81.3369,United States,1822394
416,Mersin,36.8,34.6167,Turkey,1814468
417,Almaty,43.25,76.9,Kazakhstan,1806833
418,Barranquilla,10.96,-74.8,Colombia,1798000
419,Kyoto,35.0111,135.7669,Japan,1805000
420,Manaus,-3.1,-60.0167,Brazil,1802014
421,Liaoyang,41.2643,123.1772,China,1800000
422,Baiyin,36.5448,104.1766,China,1799000
423,San Jose,37.3019,-121.8486,United States,1798103
424,Warsaw,52.2167,21.0333,Poland,1790658
425,Shengli,37.45,118.4667,China,1790000
426,Lubumbashi,-11.6697,27.4581,Congo (Kinshasa),1786397
427,Damascus,33.5131,36.2919,Syria,1754000
428,Shuyangzha,34.1299,118.7734,China,1770000
429,Shangqiu,34.4504,115.65,China,1753000
430,Esfahan,32.6447,51.6675,Iran,1756126
431,Budapest,47.4983,19.0408,Hungary,1752286
432,Heihe,50.2458,127.4886,China,1750000
433,Lusaka,-15.4167,28.2833,Zambia,1742979
434,Diyarbakir,37.9108,40.2367,Turkey,1732396
435,Chinchvad,18.6278,73.8131,India,1729320
436,Shuozhou,39.3408,112.4292,China,1714857
437,Vitoria,-20.324,-40.366,Brazil,1704000
438,Cleveland,41.4767,-81.6804,United States,1710093
439,Pittsburgh,40.4396,-79.9762,United States,1703266
440,Mecca,21.4225,39.8261,Saudi Arabia,1700000
441,Patna,25.61,85.1414,India,1684222
442,Mosul,36.3667,43.1167,Iraq,1694000
443,Austin,30.3004,-97.7522,United States,1687311
444,Sanzhou,30.82,108.4,China,1680000
445,Conakry,9.5092,-13.7122,Guinea,1667864
446,Kampala,0.3136,32.5811,Uganda,1659600
447,Ecatepec,19.6097,-99.06,Mexico,1656107
448,Cincinnati,39.1413,-84.5061,United States,1662691
449,Makassar,-5.1331,119.4136,Indonesia,1651146
450,Yushan,31.3867,120.9766,China,1651200
451,Ludhiana,30.9083,75.8486,India,1649000
452,Newcastle,55.0077,-1.6578,United Kingdom,1650000
453,Depok,-6.394,106.8225,Indonesia,1631951
454,Zhongli,24.965,121.2168,Taiwan,1632616
455,Kansas City,39.1239,-94.5541,United States,1636715
456,Rabat,34.0253,-6.8361,Morocco,1628000
457,Ouagadougou,12.3572,-1.5353,Burkina Faso,1626950
458,Davao,7.0667,125.6,Philippines,1632991
459,Manhattan,40.7834,-73.9662,United States,1628706
460,Semarang,-6.9667,110.4167,Indonesia,1621384
461,Yinchuan,38.4795,106.2254,China,1616000
462,Multan,30.1978,71.4711,Pakistan,1606481
463,Caloocan City,14.65,120.9667,Philippines,1583978
464,Harare,-17.8292,31.0522,Zimbabwe,1606000
465,Novosibirsk,55.0333,82.9167,Russia,1602915
466,Chengtangcun,35.0833,117.15,China,1603659
467,Agra,27.18,78.02,India,1585705
468,Karaj,35.8327,50.9915,Iran,1592492
469,Indianapolis,39.7771,-86.1458,United States,1588961
470,Jingdezhen,29.2942,117.2036,China,1587477
471,Puebla,19.0333,-98.1833,Mexico,1576259
472,Kalyan,19.2502,73.1602,India,1576614
473,Madurai,9.9197,78.1194,India,1561129
474,Gujranwala,32.15,74.1833,Pakistan,1569090
475,Benxi,41.292,123.761,China,1567000
476,Jamshedpur,22.8,86.1833,India,1558000
477,Zhuhai,22.2769,113.5678,China,1562000
478,Recife,-8.0539,-34.8808,Brazil,1555039
479,Columbus,39.9862,-82.985,United States,1562009
480,Tabriz,38.0833,46.2833,Iran,1558693
481,Santiago,19.5,-70.67,Dominican Republic,1550753
482,Maracaibo,10.6333,-71.6333,Venezuela,1551539
483,Beihai,21.4667,109.1,China,1539251
484,Shuangyashan,46.6388,131.1545,China,1530000
485,Kobe,34.6913,135.183,Japan,1522944
486,Charlotte,35.208,-80.8304,United States,1512923
487,Yucheng,29.9888,103.0007,China,1512000
488,Changshu,31.65,120.7333,China,1510100
489,Ximeicun,24.9633,118.3811,China,1508000
490,Jianguang,28.1958,115.7833,China,1507402
491,Gwangju,35.1667,126.9167,"Korea, South",1501557
492,Xushan,30.1697,121.2665,China,1502000
493,Guiping,23.4,110.0833,China,1496904
494,Nasik,20,73.7833,India,1486053
495,Porto Alegre,-30.0328,-51.23,Brazil,1484941
496,Zhangjiajie,29.1255,110.4844,China,1486000
497,Valencia,10.1667,-68,Venezuela,1484430
498,Virginia Beach,36.7335,-76.0435,United States,1478868
499,Daejeon,36.351,127.385,"Korea, South",1475221
500,Munich,48.1372,11.5755,Germany,1471508
501,Yekaterinburg,56.8356,60.6128,Russia,1468833
502,Auckland,-36.85,174.7833,New Zealand,1467800
503,Yunfu,22.9242,112.0353,China,1470000
504,Huangshan,29.7132,118.3151,China,1470000
505,Huazhou,32.6832,112.079,China,1468061
506,Shiraz,29.61,52.5425,Iran,1460665
507,Leon de los Aldama,21.1167,-101.6833,Mexico,1454793
508,Pizhou,34.3422,118.0097,China,1458038
509,Palembang,-2.9833,104.7644,Indonesia,1452456
510,Kharkiv,50,36.2292,Ukraine,1446107
511,Kawanakajima,35.53,139.705,Japan,1437266
512,Lianjiang,21.6146,110.2794,China,1443099
513,Chizhou,30.6583,117.4849,China,1430000
514,Leizhou,20.9147,110.0806,China,1427664
515,Guyuan,36.008,106.2782,China,1426000
516,Rui'an,27.778,120.6526,China,1424667
517,Birstall,52.6736,-1.12,United Kingdom,1424216
518,Muscat,23.6139,58.5922,Oman,1421409
519,Hebi,35.7497,114.2887,China,1419000
520,Jingling,30.6667,113.1667,China,1418913
521,Bronx,40.8501,-73.8662,United States,1418207
522,The Hague,52.08,4.27,Netherlands,1406000
523,Owerri,5.4833,7.0333,Nigeria,1401873
524,Sharjah,25.3575,55.3919,United Arab Emirates,1400000
525,Faridabad,28.4333,77.3167,India,1394000
526,Ulaanbaatar,47.9203,106.9172,Mongolia,1396288
527,Goiania,-16.6789,-49.2539,Brazil,1393575
528,Belem,-1.4558,-48.5039,Brazil,1393399
529,Kayseri,38.7333,35.4833,Turkey,1389680
530,Yueqing,28.1188,120.9621,China,1389332
531,Belgrade,44.8167,20.4667,Serbia,1378682
532,Pingdu,36.7833,119.9556,China,1378900
533,Aurangabad,19.88,75.32,India,1371330
534,Yutan,28.3147,112.554,China,1368117
535,Wenling,28.3797,121.3718,China,1366794
536,Islamabad,33.6989,73.0369,Pakistan,1365000
537,Milwaukee,43.0642,-87.9673,United States,1365787
538,Milan,45.4669,9.19,Italy,1351562
539,Sofia,42.6975,23.3241,Bulgaria,1355142
540,Adelaide,-34.9289,138.6011,Australia,1345777
541,Samsun,41.2867,36.33,Turkey,1335716
542,Rajkot,22.2969,70.7984,India,1335397
543,Khulna,22.8167,89.55,Bangladesh,1311100
544,Cordoba,-31.4167,-64.1833,Argentina,1329604
545,Guarulhos,-23.4667,-46.5333,Brazil,1324781
546,Juarez,31.7386,-106.487,Mexico,1321004
547,Prague,50.0833,14.4167,Czechia,1324277
548,Montevideo,-34.8667,-56.1667,Uruguay,1319108
549,Mbuji-Mayi,-6.1209,23.5967,Congo (Kinshasa),1295000
550,Fuqing,25.7232,119.3735,China,1316000
551,Xintai,35.91,117.78,China,1315942
552,Doha,25.3,51.5333,Qatar,1312947
