0,city_ascii,lat,long,country,population
25692,Bliss Corner,41.6054,-70.9421,United States,5137
8398,Turtle Creek,40.4085,-79.8214,United States,5138
25688,Weisenberg,40.6051,-75.7099,United States,5140
8397,Glendale,39.7036,-104.9352,United States,5141
25683,St. James,33.9467,-78.1132,United States,5141
25684,Ayden,35.4694,-77.4167,United States,5141
25685,Waterbury,44.3851,-72.746,United States,5141
25686,St. Clairsville,40.0792,-80.8997,United States,5141
25680,Bristol,42.5378,-88.0149,United States,5142
25681,Tice,26.6758,-81.8171,United States,5142
25682,Red Oak,41.0141,-95.2248,United States,5142
25679,Birdsboro,40.262,-75.8099,United States,5143
25677,Boiling Spring Lakes,34.0322,-78.068,United States,5146
25678,Odessa,38.9988,-93.9666,United States,5146
25675,Lakeview,34.9777,-85.2539,United States,5147
25676,Ottawa,41.0203,-84.0354,United States,5147
25671,Warm Mineral Springs,27.0469,-82.2702,United States,5149
25669,Grambling,32.5276,-92.7124,United States,5150
25670,Lake Township,41.4549,-75.3754,United States,5150
25668,Broadalbin,43.0764,-74.1574,United States,5153
25666,Grosse Pointe,42.3915,-82.9118,United States,5154
25665,Erwin,35.3226,-78.6734,United States,5156
25664,Holland,40.5966,-75.1221,United States,5157
25661,Ettrick,37.2435,-77.4287,United States,5159
25662,South Haven,41.5438,-87.1367,United States,5159
25659,Three Points,32.0596,-111.2866,United States,5161
25658,Lake City,44.4453,-92.2796,United States,5162
25655,Maplewood,47.3716,-122.5689,United States,5163
25656,Zephyrhills South,28.2152,-82.1886,United States,5163
25653,Cold Spring Harbor,40.8608,-73.4488,United States,5164
25648,Creve Coeur,40.6425,-89.5983,United States,5169
25649,Morris,45.5856,-95.9048,United States,5169
25647,North Salem,41.333,-73.6042,United States,5172
25644,Collegeville,40.1873,-75.4581,United States,5174
25645,Richmond,39.2755,-93.9731,United States,5174
8394,West Loch Estate,21.3617,-158.0246,United States,5177
25641,Parker,33.057,-96.6248,United States,5177
25640,Firthcliffe,41.4409,-74.0353,United States,5178
25638,Algona,43.0743,-94.2302,United States,5182
25637,Mount Olive,35.1997,-78.0662,United States,5183
25636,Ghent,42.312,-73.6509,United States,5184
25633,Pound Ridge,41.2115,-73.5747,United States,5185
25631,Thiells,41.2067,-74.0122,United States,5186
25632,Carlisle,42.53,-71.3513,United States,5186
25628,Attica,40.2874,-87.2452,United States,5187
25627,Washington Township,40.8467,-75.1972,United States,5188
25626,Sawmills,35.8162,-81.4779,United States,5189
25622,Hampshire,42.1124,-88.5122,United States,5190
25623,Ocean Bluff-Brant Rock,42.1006,-70.6625,United States,5190
25620,River Ridge,28.2669,-82.6257,United States,5191
25621,Hampden,42.0638,-72.4157,United States,5191
25619,Bisbee,31.4126,-109.9179,United States,5193
25617,Upper Yoder,40.2995,-78.9907,United States,5195
25615,Bethel Township,40.4485,-76.42,United States,5196
25616,Obetz,39.8671,-82.9451,United States,5196
25614,West Wendover,40.7407,-114.0783,United States,5197
25612,Springfield,42.3246,-85.2371,United States,5198
25608,South Bay,26.677,-80.7265,United States,5200
25609,Gardnertown,41.5328,-74.0594,United States,5200
25610,Thatcher,32.832,-109.7595,United States,5200
25606,Ravena,42.4755,-73.8113,United States,5202
25604,Roseburg North,43.2653,-123.3025,United States,5207
25600,Tichigan,42.8087,-88.215,United States,5208
25601,Lake Wildwood,39.235,-121.2003,United States,5208
25602,Wenham,42.6008,-70.8826,United States,5208
25603,Montrose,45.0668,-93.9206,United States,5208
25597,Warren,42.2002,-72.2006,United States,5210
25596,Londonderry Township,40.1814,-76.6964,United States,5211
25594,Maine,42.2,-76.0314,United States,5212
25595,Lake Montezuma,34.6414,-111.796,United States,5212
25591,Quantico Base,38.5228,-77.3187,United States,5213
25590,Hutchinson Island South,27.3243,-80.2425,United States,5214
25588,Center,31.793,-94.1796,United States,5215
25589,Clarinda,40.738,-95.034,United States,5215
25587,Elmsford,41.0541,-73.8143,United States,5216
25586,Martic,39.8721,-76.3144,United States,5217
25584,Newfield,42.3377,-76.613,United States,5218
25582,Kelly,40.9984,-76.9245,United States,5219
25579,Gilmer,32.7317,-94.946,United States,5220
25580,Williamsville,42.9623,-78.7418,United States,5220
25581,Bedford,40.0456,-78.4998,United States,5220
25577,Union City,40.1995,-84.8206,United States,5223
8391,Highwood,42.206,-87.8128,United States,5224
25574,Kalaheo,21.9159,-159.5236,United States,5224
